user,location,text,sentiment,probability
flamihup,"Bogotá, D.C., Colombia","Él médico de la Fundación Santa Fe, si violo la ética médica al dar a conocer una historia clínica. Debe ser investigado, por el Tribunal de Ética Médica y la justicia penal #cuidarnuestrosmedicoses #CadenaDeAfectosPorPetro #HeroesEnLaVia https://t.co/vZRgRwhrPJ",Positivo,51
germandiazt,"Bogotá, D.C., Colombia","#CadenaDeAfectosPorPetro
La lucha es la divisa de tu talante, de muchas has salido airoso, de esta saldrás. ¡Colombia te necesita! Un abrazo compañero",Positivo,79
nanayeayea,Colombia,#CadenaDeAfectosPorPetro la voz de la constitucion sos vos y no te tumba la sarta dementiras y perseciciones. menos un daño fisico. Con toda y sos muy valioso para la democracia. Colombia te requiere.,Positivo,66
KARENLORENARODR,COLOMBIA,"Que la vida recompense con salud, todo lo que has hecho por los más necesitados. #CadenaDeAfectosPorPetro",Positivo,69
JorgeMa36221757,,"@cielo_rusinque @petrogustavo También hago compañía, Dios lo acompaña. #CadenaDeAfectosPorPetro",Positivo,60
NatalGarca1,"Bogotá, D.C., Colombia",Jajajajajajajaja #CadenaDeAfectosPorPetro,Positivo,63
OscarH14965244,,Execelente noticia @petrogustavo ahora sí a seguir trabajando por un país que lo necesita y lo quiere. #CadenaDeAfectosPorPetro,Positivo,77
MiTaxxI,Bogotá,"@LosDanielesOp Esta si es VERDAD pero los #Uribestias no están listos para esta conversación

#CadenaDeAfectosPorPetro https://t.co/0oEGSJv01n",Positivo,66
StefanBravo3,"Medellín, Colombia","#CadenaDeAfectosPorPetro
Increíble todo lo que se inventó 🤦‍♀️ https://t.co/Cxuboy3vf9",Positivo,68
mikebisaacs,Bogotá,"Sin duda, Petro es de las mejores cosas que le ha pasado a la política colombiana. Gracias @petrogustavo por abrirnos los ojos a millones de colombianos
#CadenaDeAfectosPorPetro",Positivo,78
reformista_lib,"Bogotá, D.C., Colombia","Como es que el senador Petro está por encima de la ley para viajar libremente a sacarse un examen que fácilmente se puede sacar en Colombia? La ley para los de ruana 

#CadenaDeAfectosPorPetro",Negativo,49
mistermagu72,"Bogotá, D.C., Colombia","Gracias Gustavo Bolívar...!!!
Y seguimos en la #CadenaDeAfectosPorPetro
#FuerzaPetro https://t.co/ud7TMlMlgf",Positivo,89
Karla_Torres_E,Colombia ,#CadenaDeAfectosPorPetro por Dios quien sacó esta tenedencia !,Positivo,57
efrapotter,,"Me alegra mucho saber que Gustavo Petro salió bien de su cirugía. TODAS LAS VOCES deben ser escuchadas si queremos paz y un gobierno más equitativo, libre y que nos una la fraternidad.

Solo juntos, como ayer Medellín con @QuinteroCalle triunfaremos.

#CadenaDeAfectosPorPetro",Positivo,70
MigueIPoIoP,Cartagena de Indias y Tolú,Gustavo Petro se conecta por Zoom a la plenaria del Senado aún después de una cirugía. El concejal más joven del universo piensa que todos los días son domingo #CadenaDeAfectosPorPetro,Positivo,72
gener_usuga,"Paris, France","Junto amis hijos oramos por la recuperación de todos las personas q padecen el #Covid_19, también por la salud de Gustavo Petro y Edilberto Muñoz.
#VelatonPorLaVida #CadenaDeAfectosPorPetro #FuerzaPetro #FuerzaEdilberto https://t.co/nugFcU95l0",Positivo,66
